"r_id","r_gender","r_age","r_educ","r_income","r_party","r_strength","r_lean","profile","cage","chealthcare","cmarriage","cparty","educ","exp","gender","guns","highway","ideology","immigration","income","job","kids","marital","military","race","relative","school","vacation"
"R_3hGWWO3ZPJ5zf0P",1,23,2,2,2,1,NA,3,2,1,2,2,2,2,1,2,3,2,3,3,2,3,2,1,3,2,3,1
"R_3hGWWO3ZPJ5zf0P",1,23,2,2,2,1,NA,4,3,2,1,2,1,1,2,1,3,2,1,1,3,1,2,1,2,1,2,1
"R_3nBZQhT0nA8ECPf",1,27,3,2,2,1,NA,1,1,1,2,2,2,3,1,1,2,2,2,2,2,3,2,1,7,2,1,1
"R_3nBZQhT0nA8ECPf",1,27,3,2,2,1,NA,2,1,2,2,1,2,3,1,1,3,1,2,2,1,3,2,2,7,3,3,1
"R_3nBZQhT0nA8ECPf",1,27,3,2,2,1,NA,3,3,2,2,2,3,3,2,2,4,1,2,1,4,1,2,1,2,4,3,2
"R_3nBZQhT0nA8ECPf",1,27,3,2,2,1,NA,4,2,1,2,1,1,3,2,2,3,1,3,2,2,3,3,1,1,4,3,3
"R_22noyEoDfciVATY",2,23,5,2,2,0,NA,1,1,1,1,2,3,3,1,1,3,2,1,3,2,1,2,1,1,4,2,1
"R_22noyEoDfciVATY",2,23,5,2,2,0,NA,2,2,2,1,2,2,2,1,1,3,2,2,3,1,3,2,1,1,1,2,1
"R_22noyEoDfciVATY",2,23,5,2,2,0,NA,3,2,1,2,2,3,3,1,1,3,2,1,3,1,4,2,2,1,1,2,1
"R_22noyEoDfciVATY",2,23,5,2,2,0,NA,4,3,2,1,1,2,3,1,2,3,1,3,3,2,1,1,1,1,3,2,1
"R_25tkUpfZaIxqbxQ",1,34,3,2,3,NA,-1,1,3,2,2,1,2,3,1,2,1,2,2,3,1,4,2,2,1,2,1,3
"R_25tkUpfZaIxqbxQ",1,34,3,2,3,NA,-1,2,2,1,1,1,3,1,2,2,4,1,3,2,2,3,2,1,1,1,3,3
"R_25tkUpfZaIxqbxQ",1,34,3,2,3,NA,-1,3,2,2,1,1,2,3,2,2,3,1,2,3,1,2,2,1,7,1,2,1
"R_25tkUpfZaIxqbxQ",1,34,3,2,3,NA,-1,4,3,2,1,2,2,2,1,1,1,2,1,2,2,4,2,2,1,1,3,3
"R_3klkh1yHGRHuTHf",2,44,4,4,1,0,NA,1,2,2,1,2,2,1,1,1,4,2,1,2,1,3,2,1,1,4,2,2
"R_3klkh1yHGRHuTHf",2,44,4,4,1,0,NA,2,3,1,2,2,3,2,1,1,4,2,1,3,2,3,2,1,1,2,3,1
"R_3klkh1yHGRHuTHf",2,44,4,4,1,0,NA,3,1,2,2,2,2,1,2,1,4,2,2,1,3,2,1,1,1,3,3,2
"R_3klkh1yHGRHuTHf",2,44,4,4,1,0,NA,4,3,2,2,2,2,2,1,1,3,2,1,2,1,4,2,2,1,2,2,3
"R_cx7so3NAi7Motxz",2,46,3,2,3,NA,0,1,3,2,2,1,2,3,1,1,3,2,1,1,3,3,2,1,1,1,3,2
"R_cx7so3NAi7Motxz",2,46,3,2,3,NA,0,2,3,1,2,1,2,2,1,2,2,1,2,1,1,3,2,1,2,3,2,4
"R_cx7so3NAi7Motxz",2,46,3,2,3,NA,0,3,1,1,1,1,2,1,2,2,3,1,2,1,3,1,1,1,2,4,3,1
"R_cx7so3NAi7Motxz",2,46,3,2,3,NA,0,4,1,2,1,1,3,1,2,2,4,1,1,2,1,1,3,1,1,2,3,3
"R_3dRmBxuih1owi98",1,27,5,2,3,NA,-1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,3,1,1,3,1,2
"R_3dRmBxuih1owi98",1,27,5,2,3,NA,-1,2,3,2,2,2,2,3,1,1,1,2,1,1,2,3,2,1,1,2,3,2
"R_3dRmBxuih1owi98",1,27,5,2,3,NA,-1,3,1,1,2,1,1,1,2,2,3,1,3,1,1,2,2,1,1,1,3,4
"R_3dRmBxuih1owi98",1,27,5,2,3,NA,-1,4,1,2,2,1,2,1,2,2,4,2,2,1,2,1,1,1,7,4,1,1
"R_9RiY8a5PjVsTZlv",2,58,3,1,3,NA,-1,1,3,1,1,2,3,3,2,1,3,2,2,3,2,4,2,2,1,4,1,1
"R_9RiY8a5PjVsTZlv",2,58,3,1,3,NA,-1,2,1,2,2,2,2,1,1,1,1,2,1,2,4,3,2,1,1,1,3,3
"R_9RiY8a5PjVsTZlv",2,58,3,1,3,NA,-1,3,1,1,1,1,2,1,2,2,3,1,3,2,1,2,2,1,2,2,2,2
"R_9RiY8a5PjVsTZlv",2,58,3,1,3,NA,-1,4,3,2,1,2,2,3,1,1,2,2,1,2,2,2,3,1,1,3,1,4
"R_1K2vdyCoPy4Cjzi",1,31,5,3,2,1,NA,1,2,1,2,1,2,1,1,1,1,1,2,1,3,4,2,2,1,2,2,3
"R_1K2vdyCoPy4Cjzi",1,31,5,3,2,1,NA,2,3,2,2,2,1,3,1,1,4,2,1,2,2,4,2,2,1,4,1,1
"R_1K2vdyCoPy4Cjzi",1,31,5,3,2,1,NA,3,2,1,2,2,2,1,1,1,4,2,2,2,2,4,2,2,1,3,2,3
"R_1K2vdyCoPy4Cjzi",1,31,5,3,2,1,NA,4,1,1,2,2,2,1,1,1,2,2,2,1,1,3,2,2,1,1,2,4
"R_1giqLpLkSZFrIyu",1,38,3,4,2,1,NA,1,3,1,2,1,2,2,1,2,1,2,2,2,1,3,2,1,2,3,1,1
"R_1giqLpLkSZFrIyu",1,38,3,4,2,1,NA,2,2,2,1,1,2,3,1,2,1,1,2,2,2,2,3,1,1,2,2,2
"R_1giqLpLkSZFrIyu",1,38,3,4,2,1,NA,3,2,1,2,2,2,1,2,1,3,2,1,3,4,1,1,1,1,4,3,1
"R_1giqLpLkSZFrIyu",1,38,3,4,2,1,NA,4,2,2,2,2,1,3,1,1,4,2,2,1,3,4,3,2,1,2,1,3
"R_PM3lq9rxNmIUQuZ",2,28,3,2,1,0,NA,1,3,1,2,2,3,2,1,2,4,2,1,2,2,1,2,1,1,4,1,3
"R_PM3lq9rxNmIUQuZ",2,28,3,2,1,0,NA,2,3,1,1,2,2,1,1,1,3,1,2,1,1,2,1,1,1,4,3,2
"R_PM3lq9rxNmIUQuZ",2,28,3,2,1,0,NA,3,3,1,1,2,1,3,1,2,1,1,3,2,1,3,3,1,1,1,3,2
"R_PM3lq9rxNmIUQuZ",2,28,3,2,1,0,NA,4,1,1,2,1,2,1,2,2,2,2,1,1,2,1,2,1,1,1,1,2
"R_31FuxIhGADEbPt4",1,35,6,2,2,0,NA,1,2,1,2,2,2,3,1,1,2,2,1,2,1,3,2,1,1,3,3,2
"R_31FuxIhGADEbPt4",1,35,6,2,2,0,NA,2,3,2,1,2,2,3,1,1,3,2,2,2,2,4,2,2,1,3,2,4
"R_31FuxIhGADEbPt4",1,35,6,2,2,0,NA,3,3,2,1,2,2,3,1,1,3,2,2,2,2,4,2,2,1,3,2,4
"R_31FuxIhGADEbPt4",1,35,6,2,2,0,NA,4,3,1,1,2,3,3,1,1,1,2,2,2,2,4,2,2,1,3,1,3
"R_Dc2Qbooz7PEflcJ",2,24,3,6,2,1,NA,1,2,1,1,1,2,2,1,2,4,1,3,3,2,3,2,1,1,2,3,1
"R_Dc2Qbooz7PEflcJ",2,24,3,6,2,1,NA,2,3,1,1,2,3,2,1,1,3,2,2,3,2,3,2,1,1,4,1,4
"R_Dc2Qbooz7PEflcJ",2,24,3,6,2,1,NA,3,1,2,2,2,3,2,1,1,4,2,1,3,1,3,2,2,1,3,1,1
"R_Dc2Qbooz7PEflcJ",2,24,3,6,2,1,NA,4,1,2,2,2,3,2,1,1,1,2,1,3,2,3,2,2,1,3,1,3
"R_2CEr4upUyawdzJu",1,22,5,5,3,NA,-1,1,3,1,1,1,3,3,1,2,3,1,3,2,2,4,2,1,1,4,1,3
"R_2CEr4upUyawdzJu",1,22,5,5,3,NA,-1,2,1,1,1,2,2,3,1,1,2,2,2,2,1,3,2,2,1,2,2,2
"R_2CEr4upUyawdzJu",1,22,5,5,3,NA,-1,3,1,1,2,2,2,2,1,1,4,2,1,2,1,3,2,2,1,1,2,3
"R_2CEr4upUyawdzJu",1,22,5,5,3,NA,-1,4,2,1,2,1,3,3,2,1,3,2,2,3,2,3,2,1,1,3,3,1
"R_UL9tQfGVEHNSMcF",2,35,5,3,3,NA,-1,1,2,1,2,2,3,2,1,1,4,2,1,3,2,3,2,1,1,2,3,2
"R_UL9tQfGVEHNSMcF",2,35,5,3,3,NA,-1,2,3,2,2,2,3,3,1,1,3,2,1,3,2,3,2,2,1,4,3,4
"R_UL9tQfGVEHNSMcF",2,35,5,3,3,NA,-1,3,2,2,2,1,3,2,1,1,4,2,2,2,1,3,2,1,1,2,1,4
"R_UL9tQfGVEHNSMcF",2,35,5,3,3,NA,-1,4,1,2,2,2,3,2,1,1,2,2,1,2,1,3,2,1,1,4,3,1
"R_23fOdkCBio95Mi5",2,42,5,3,2,0,NA,1,2,1,2,2,2,3,1,1,3,2,1,3,1,4,2,2,1,1,3,2
"R_23fOdkCBio95Mi5",2,42,5,3,2,0,NA,2,3,1,2,2,3,3,1,1,3,2,1,3,2,3,2,2,1,3,2,3
"R_23fOdkCBio95Mi5",2,42,5,3,2,0,NA,3,2,2,2,1,2,3,1,2,2,2,2,2,2,4,2,1,7,2,1,4
"R_23fOdkCBio95Mi5",2,42,5,3,2,0,NA,4,2,2,1,2,2,2,1,1,3,1,2,2,1,3,2,1,1,3,3,2
"R_1IWV0CsXZs2RIpr",2,24,2,2,3,NA,0,1,1,2,2,2,2,2,1,2,3,2,2,2,4,3,2,2,1,4,1,1
"R_1IWV0CsXZs2RIpr",2,24,2,2,3,NA,0,2,3,2,2,2,1,3,1,1,1,2,2,2,1,1,2,2,1,1,2,3
"R_1IWV0CsXZs2RIpr",2,24,2,2,3,NA,0,3,3,2,1,2,2,2,1,2,1,2,3,2,1,1,2,2,1,1,3,4
"R_1IWV0CsXZs2RIpr",2,24,2,2,3,NA,0,4,3,1,1,2,2,3,1,1,1,2,2,2,1,2,2,1,1,3,2,4
"R_26kFt6eEGi4pI00",2,34,5,4,1,0,NA,1,2,1,1,2,3,3,1,2,2,1,3,3,2,1,2,1,1,1,3,3
"R_26kFt6eEGi4pI00",2,34,5,4,1,0,NA,2,3,2,2,1,2,3,1,1,1,2,2,2,1,2,2,2,1,2,1,3
"R_26kFt6eEGi4pI00",2,34,5,4,1,0,NA,3,2,1,1,2,3,3,1,2,2,1,3,3,2,1,2,1,1,1,3,1
"R_26kFt6eEGi4pI00",2,34,5,4,1,0,NA,4,2,2,2,2,2,3,1,1,4,2,2,1,4,3,2,2,1,3,2,4
"R_2cdUn9zISVJyn6d",2,34,6,6,1,0,NA,1,3,1,1,1,3,3,1,2,2,1,3,3,2,3,2,1,1,2,1,1
"R_2cdUn9zISVJyn6d",2,34,6,6,1,0,NA,2,2,2,1,1,2,3,1,2,3,1,2,3,1,3,2,1,1,3,3,3
"R_2cdUn9zISVJyn6d",2,34,6,6,1,0,NA,3,2,1,1,1,3,3,1,2,2,1,3,2,3,4,2,1,1,4,3,2
"R_2cdUn9zISVJyn6d",2,34,6,6,1,0,NA,4,2,2,2,2,2,2,1,1,1,2,2,3,1,4,2,1,1,4,2,4
"R_1NEPrkENWsfUHAH",2,36,4,4,3,NA,0,1,2,1,1,1,2,2,1,2,1,1,3,2,2,3,2,1,1,2,2,2
"R_1NEPrkENWsfUHAH",2,36,4,4,3,NA,0,2,1,2,1,2,2,3,2,1,4,2,2,2,1,4,2,1,1,3,1,2
"R_1NEPrkENWsfUHAH",2,36,4,4,3,NA,0,3,3,1,2,1,2,2,1,1,1,2,1,2,1,4,2,1,1,4,1,2
"R_1NEPrkENWsfUHAH",2,36,4,4,3,NA,0,4,3,1,1,2,2,2,1,2,3,1,3,2,1,3,2,1,1,4,3,2
"R_29oza5fCxVMkV2J",2,28,3,1,2,0,NA,1,3,2,2,2,2,3,1,1,3,2,1,3,2,2,3,1,1,1,3,4
"R_29oza5fCxVMkV2J",2,28,3,1,2,0,NA,2,2,2,1,2,2,1,2,1,4,2,2,2,3,3,2,1,1,2,2,1
"R_29oza5fCxVMkV2J",2,28,3,1,2,0,NA,3,2,2,2,1,1,1,1,2,1,2,1,2,4,1,1,1,3,3,1,2
"R_29oza5fCxVMkV2J",2,28,3,1,2,0,NA,4,2,1,2,2,1,1,1,1,1,2,1,2,1,2,3,1,1,4,3,3
"R_3h5ru7MqoyaZFOE",2,27,6,3,2,1,NA,1,3,2,1,1,3,1,1,2,3,1,2,2,2,3,2,1,1,4,1,2
"R_3h5ru7MqoyaZFOE",2,27,6,3,2,1,NA,2,2,2,2,2,3,1,1,1,3,2,1,2,2,4,2,1,1,2,2,3
"R_3h5ru7MqoyaZFOE",2,27,6,3,2,1,NA,3,2,2,2,1,2,1,1,1,3,2,1,2,2,3,2,1,1,4,2,3
"R_3h5ru7MqoyaZFOE",2,27,6,3,2,1,NA,4,2,1,1,2,3,1,1,2,3,1,2,2,2,3,2,1,1,3,3,1
"R_ZlQtjbRAHvTnJ05",1,24,5,6,1,1,NA,1,1,2,1,2,2,3,1,1,3,2,2,2,1,3,2,1,1,3,2,3
"R_ZlQtjbRAHvTnJ05",1,24,5,6,1,1,NA,2,2,2,2,1,2,3,1,2,2,1,3,2,2,2,2,1,1,2,3,2
"R_ZlQtjbRAHvTnJ05",1,24,5,6,1,1,NA,3,2,1,2,1,3,2,1,2,1,1,3,3,4,2,3,1,1,3,3,4
"R_ZlQtjbRAHvTnJ05",1,24,5,6,1,1,NA,4,3,1,1,2,3,2,2,2,4,1,2,3,3,4,1,1,1,1,3,4
"R_725VjWPBGnhEktb",2,32,5,2,3,NA,0,1,1,1,1,1,3,3,2,2,3,2,2,2,2,2,2,1,2,1,1,1
"R_725VjWPBGnhEktb",2,32,5,2,3,NA,0,2,2,2,1,2,3,1,1,1,2,1,1,2,1,4,2,1,1,4,3,1
"R_725VjWPBGnhEktb",2,32,5,2,3,NA,0,3,1,1,2,2,2,3,1,1,4,1,1,2,2,2,2,2,1,2,2,2
"R_725VjWPBGnhEktb",2,32,5,2,3,NA,0,4,1,1,1,2,2,2,2,1,2,2,1,2,2,3,2,1,1,4,1,2
"R_3lxyJRUyuz1qxIe",2,23,5,2,2,0,NA,1,2,2,2,1,2,1,1,2,4,2,1,1,1,3,2,2,1,4,1,3
"R_3lxyJRUyuz1qxIe",2,23,5,2,2,0,NA,2,1,1,2,2,3,3,1,1,1,2,1,2,1,1,3,1,1,1,3,1
"R_3lxyJRUyuz1qxIe",2,23,5,2,2,0,NA,3,1,2,2,1,2,2,1,2,3,2,1,2,2,4,3,1,1,1,3,4
"R_3lxyJRUyuz1qxIe",2,23,5,2,2,0,NA,4,2,1,2,1,2,2,1,1,1,2,1,2,4,3,2,2,2,3,1,2
"R_3DtLmrFCwbt4yCi",2,31,3,1,4,NA,-1,1,3,2,1,2,2,3,2,1,1,2,2,3,2,4,3,1,7,4,1,3
"R_3DtLmrFCwbt4yCi",2,31,3,1,4,NA,-1,2,3,2,1,2,2,3,2,1,1,2,2,3,2,4,3,1,7,4,1,3
"R_3DtLmrFCwbt4yCi",2,31,3,1,4,NA,-1,3,3,1,1,2,1,3,1,1,3,2,2,2,4,4,3,2,1,2,2,1
"R_3DtLmrFCwbt4yCi",2,31,3,1,4,NA,-1,4,2,2,2,1,2,3,1,2,1,1,2,1,2,3,2,2,1,1,3,3
"R_27eyY4BKSxpFohg",1,37,6,4,2,0,NA,1,3,2,1,2,3,1,1,1,1,2,1,2,2,3,2,1,1,4,2,1
"R_27eyY4BKSxpFohg",1,37,6,4,2,0,NA,2,2,2,1,2,3,1,2,1,4,2,1,2,3,4,2,1,1,3,3,2
"R_27eyY4BKSxpFohg",1,37,6,4,2,0,NA,3,1,1,1,1,2,1,1,2,2,1,3,1,1,2,3,1,3,1,1,3
"R_27eyY4BKSxpFohg",1,37,6,4,2,0,NA,4,1,1,2,2,3,3,1,1,3,2,1,3,2,4,2,2,1,2,2,4
"R_ZwLjXO5FUeMK5Nf",1,32,5,4,2,0,NA,1,2,2,1,1,2,1,1,2,2,1,2,1,2,3,2,1,1,2,2,3
"R_ZwLjXO5FUeMK5Nf",1,32,5,4,2,0,NA,2,3,1,2,2,2,3,1,1,4,2,1,2,1,4,2,1,1,1,3,1
"R_ZwLjXO5FUeMK5Nf",1,32,5,4,2,0,NA,3,2,1,1,1,3,1,2,2,1,1,3,1,3,3,2,1,1,3,2,4
"R_ZwLjXO5FUeMK5Nf",1,32,5,4,2,0,NA,4,2,1,1,2,3,2,1,1,3,1,2,2,1,4,2,1,1,2,3,2
"R_24eDh1q7fKlBXlW",1,31,4,2,3,NA,0,1,1,1,1,2,2,1,1,1,2,2,2,2,2,3,2,2,1,4,3,3
"R_24eDh1q7fKlBXlW",1,31,4,2,3,NA,0,2,3,2,1,1,2,3,1,2,1,1,2,3,2,3,2,1,1,3,2,1
"R_24eDh1q7fKlBXlW",1,31,4,2,3,NA,0,3,1,1,1,2,2,1,1,2,4,2,2,2,1,3,2,1,1,1,1,1
"R_24eDh1q7fKlBXlW",1,31,4,2,3,NA,0,4,3,1,2,1,2,3,1,2,3,1,2,3,2,3,2,2,1,2,1,1
"R_uqukJgDaeNF6WQh",1,23,3,1,1,0,NA,1,1,2,1,2,2,3,1,1,1,2,3,2,2,2,2,1,1,1,1,1
"R_uqukJgDaeNF6WQh",1,23,3,1,1,0,NA,2,3,1,1,2,2,3,1,1,3,2,2,3,2,3,2,2,1,4,2,3
"R_uqukJgDaeNF6WQh",1,23,3,1,1,0,NA,3,1,1,1,1,3,3,2,2,2,1,3,3,2,3,2,1,7,2,2,2
"R_uqukJgDaeNF6WQh",1,23,3,1,1,0,NA,4,2,2,2,2,3,2,1,1,4,2,1,3,1,1,2,2,1,4,3,4
"R_8ca2DCXYWe0vhGp",1,37,3,3,3,NA,0,1,1,2,2,2,3,3,1,1,4,2,2,2,2,3,2,2,1,3,1,2
"R_8ca2DCXYWe0vhGp",1,37,3,3,3,NA,0,2,1,2,2,1,2,3,1,2,2,2,1,2,1,4,3,2,2,4,1,2
"R_8ca2DCXYWe0vhGp",1,37,3,3,3,NA,0,3,3,1,1,1,2,1,2,1,1,2,3,1,3,3,2,1,1,1,3,4
"R_8ca2DCXYWe0vhGp",1,37,3,3,3,NA,0,4,3,2,1,1,2,2,1,2,2,1,2,2,4,4,2,2,1,2,3,3
"R_yEZLkRmNJAbAEAF",2,43,5,3,2,1,NA,1,3,2,1,2,2,3,1,2,3,1,1,3,1,4,2,1,1,4,2,1
"R_yEZLkRmNJAbAEAF",2,43,5,3,2,1,NA,2,1,2,2,2,3,1,1,1,4,2,1,3,2,3,2,1,7,1,2,3
"R_yEZLkRmNJAbAEAF",2,43,5,3,2,1,NA,3,1,1,1,2,2,3,2,2,1,1,2,2,3,2,2,1,1,2,3,4
"R_yEZLkRmNJAbAEAF",2,43,5,3,2,1,NA,4,3,1,2,2,2,2,1,1,4,2,1,2,4,4,2,2,1,3,2,2
"R_2P5nPh7QxdcHzM2",2,50,3,2,2,0,NA,1,1,1,2,1,2,1,1,2,4,1,3,2,2,3,2,2,1,1,2,3
"R_2P5nPh7QxdcHzM2",2,50,3,2,2,0,NA,2,3,1,2,2,3,2,1,1,2,2,1,3,1,4,2,2,1,4,3,2
"R_2P5nPh7QxdcHzM2",2,50,3,2,2,0,NA,3,2,2,2,2,3,1,1,1,3,2,1,3,2,2,2,1,1,3,1,4
"R_2P5nPh7QxdcHzM2",2,50,3,2,2,0,NA,4,2,1,1,1,2,3,2,2,1,1,3,2,3,3,2,1,2,2,2,1
"R_232krGxP2ZfpvF2",1,31,2,3,1,1,NA,1,3,2,1,2,3,3,1,1,2,2,2,2,1,3,2,2,1,4,3,3
"R_232krGxP2ZfpvF2",1,31,2,3,1,1,NA,2,1,1,2,2,2,3,1,1,4,1,3,3,2,1,2,1,1,2,3,1
"R_232krGxP2ZfpvF2",1,31,2,3,1,1,NA,3,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,2,2,3
"R_232krGxP2ZfpvF2",1,31,2,3,1,1,NA,4,3,2,1,2,1,3,2,2,4,2,2,2,1,4,1,2,1,1,1,4
"R_cNst0LWZtbwGBnr",1,40,5,5,3,NA,-1,1,2,1,2,1,1,2,1,1,4,2,1,2,1,1,3,1,1,2,2,3
"R_cNst0LWZtbwGBnr",1,40,5,5,3,NA,-1,2,3,2,2,2,1,2,1,1,1,2,1,2,2,3,2,2,1,3,1,2
"R_cNst0LWZtbwGBnr",1,40,5,5,3,NA,-1,3,1,1,2,1,2,2,1,2,2,2,1,2,1,3,2,1,1,1,3,4
"R_cNst0LWZtbwGBnr",1,40,5,5,3,NA,-1,4,3,1,2,2,1,2,1,1,1,2,1,2,2,4,2,2,1,2,1,1
"R_27xtOnSi0fKW5KF",1,59,6,5,1,0,NA,1,1,1,1,1,2,1,1,2,3,1,3,1,3,3,2,1,1,3,3,1
"R_27xtOnSi0fKW5KF",1,59,6,5,1,0,NA,2,3,2,2,1,2,1,1,2,4,1,3,1,4,3,2,2,1,2,3,3
"R_27xtOnSi0fKW5KF",1,59,6,5,1,0,NA,3,1,1,2,1,2,1,2,2,1,1,2,1,2,3,3,1,1,1,2,4
