local_idx,canonical_UPC,n_raw_upcs,constituent_UPCs,n_weeks_offered,tot_move
0,1112600328,29,1112600328;1313000602;1313000612;1313000622;1313000698;1313006025;1313006035;1313006057;1800063070;3000001020;3000001040;3000001180;3000001190;3000001200;3000001210;3000001240;3000001340;3000001380;3000001460;3000001570;3000001760;3000001800;3000001820;3000001880;3000002190;3000004170;3000004760;3000007060;4240000105,305,2163226
1,1313006053,1,1313006053,261,61256
2,6414408037,1,6414408037,243,55843
3,3000001580,1,3000001580,231,48085
4,6414408004,1,6414408004,193,58134
5,3000002390,1,3000002390,187,51575
6,3000002620,1,3000002620,185,56474
7,3828125077,4,3828125077;3828125081;3828125085;3828125098,183,224196
8,3828125073,1,3828125073,181,55620
9,1112600399,1,1112600399,181,32936
10,1313006058,2,1313006058;3000003790,177,63700
11,1800063061,1,1800063061,155,45255
12,3000001350,1,3000001350,129,20066
13,1313006031,2,1313006031;3000002300,128,85488
14,3000001000,3,3000001000;3000001370;3000001700,124,56922
15,3000001590,1,3000001590,115,24315
16,3828125105,1,3828125105,104,35988
17,3574215145,2,3574215145;3574215146,97,40428
18,1313006050,1,1313006050,96,30864
19,3000002360,1,3000002360,95,21813
20,3000002380,1,3000002380,87,19625
21,3000026135,1,3000026135,86,28079
22,1313006024,1,1313006024,76,27218
23,1112600301,2,1112600301;1600064060,76,19564
24,1600064030,1,1600064030,70,8795
25,1600064040,1,1600064040,68,8474
26,1600062880,3,1600062880;1600064070;1600065240,66,24471
27,1600062870,4,1600062870;1600062890;1600065450;1600065460,62,30140
28,3000026286,1,3000026286,46,17243
29,3000002350,5,3000002350;3000002720;3000026287;3000026288;3000026289,42,79225
30,1313006044,4,1313006044;7382550019;7382550020;7382550022,36,54872
